ccode,year,education_level,age_group,gender,unemployment_rate,inactivity_rate
CIV,2023,Tertiary,15-24,male,0.44831,0.53612
CIV,2024,Tertiary,15-24,male,0.44831,0.53612
CIV,2025,Tertiary,15-24,male,0.44831,0.53612
CIV,2015,Upper secondary,15-24,female,0.3297766666666667,0.84489
CIV,2016,Upper secondary,15-24,female,0.32738,0.8841100000000001
CIV,2017,Upper secondary,15-24,female,0.3249833333333333,0.8556933333333333
CIV,2018,Upper secondary,15-24,female,0.3225866666666667,0.8272766666666667
CIV,2019,Upper secondary,15-24,female,0.32019,0.7988599999999999
CIV,2020,Upper secondary,15-24,female,0.3177933333333333,0.8033666666666666
CIV,2021,Upper secondary,15-24,female,0.3153966666666666,0.8078733333333333
CIV,2022,Upper secondary,15-24,female,0.313,0.81238
CIV,2023,Upper secondary,15-24,female,0.313,0.81238
CIV,2024,Upper secondary,15-24,female,0.313,0.81238
CIV,2025,Upper secondary,15-24,female,0.313,0.81238
CIV,2015,Upper secondary,15-24,male,0.1463166666666666,0.7339933333333334
CIV,2016,Upper secondary,15-24,male,0.13001,0.74993
CIV,2017,Upper secondary,15-24,male,0.1137033333333333,0.69184
CIV,2018,Upper secondary,15-24,male,0.0973966666666666,0.63375
CIV,2019,Upper secondary,15-24,male,0.08109,0.5756600000000001
CIV,2020,Upper secondary,15-24,male,0.0930466666666666,0.5972700000000001
CIV,2021,Upper secondary,15-24,male,0.1050033333333333,0.6188800000000001
CIV,2022,Upper secondary,15-24,male,0.11696,0.6404900000000001
CIV,2023,Upper secondary,15-24,male,0.11696,0.6404900000000001
CIV,2024,Upper secondary,15-24,male,0.11696,0.6404900000000001
CIV,2025,Upper secondary,15-24,male,0.11696,0.6404900000000001
